Ano,Mes,Ano-Mes,El_nino
1998,6,jun/98,-0.1
1998,7,jul/98,-0.8
1998,8,ago/98,-1.1
1998,9,set/98,-1.3
1998,10,out/98,-1.4
1998,11,nov/98,-1.5
1998,12,dez/98,-1.6
1999,1,jan/99,-1.5
1999,2,fev/99,-1.3
1999,3,mar/99,-1.1
1999,4,abr/99,-1
1999,5,mai/99,-1
1999,6,jun/99,-1
1999,7,jul/99,-1.1
1999,8,ago/99,-1.1
1999,9,set/99,-1.2
1999,10,out/99,-1.3
1999,11,nov/99,-1.5
1999,12,dez/99,-1.7
2000,1,jan/00,-1.7
2000,2,fev/00,-1.4
2000,3,mar/00,-1.1
2000,4,abr/00,-0.8
2000,5,mai/00,-0.7
2000,6,jun/00,-0.6
2000,7,jul/00,-0.6
2000,8,ago/00,-0.5
2000,9,set/00,-0.5
2000,10,out/00,-0.6
2000,11,nov/00,-0.7
2000,12,dez/00,-0.7
2001,1,jan/01,-0.7
2001,2,fev/01,-0.5
2001,3,mar/01,-0.4
2001,4,abr/01,-0.3
2001,5,mai/01,-0.3
2001,6,jun/01,-0.1
2001,7,jul/01,-0.1
2001,8,ago/01,-0.1
2001,9,set/01,-0.2
2001,10,out/01,-0.3
2001,11,nov/01,-0.3
2001,12,dez/01,-0.3
2002,1,jan/02,-0.1
2002,2,fev/02,0
2002,3,mar/02,0.1
2002,4,abr/02,0.2
2002,5,mai/02,0.4
2002,6,jun/02,0.7
2002,7,jul/02,0.8
2002,8,ago/02,0.9
2002,9,set/02,1
2002,10,out/02,1.2
2002,11,nov/02,1.3
2002,12,dez/02,1.1
2003,1,jan/03,0.9
2003,2,fev/03,0.6
2003,3,mar/03,0.4
2003,4,abr/03,0
2003,5,mai/03,-0.3
2003,6,jun/03,-0.2
2003,7,jul/03,0.1
2003,8,ago/03,0.2
2003,9,set/03,0.3
2003,10,out/03,0.3
2003,11,nov/03,0.4
2003,12,dez/03,0.4
2004,1,jan/04,0.4
2004,2,fev/04,0.3
2004,3,mar/04,0.2
2004,4,abr/04,0.2
2004,5,mai/04,0.2
2004,6,jun/04,0.3
2004,7,jul/04,0.5
2004,8,ago/04,0.6
2004,9,set/04,0.7
2004,10,out/04,0.7
2004,11,nov/04,0.7
2004,12,dez/04,0.7
2005,1,jan/05,0.6
2005,2,fev/05,0.6
2005,3,mar/05,0.4
2005,4,abr/05,0.4
2005,5,mai/05,0.3
2005,6,jun/05,0.1
2005,7,jul/05,-0.1
2005,8,ago/05,-0.1
2005,9,set/05,-0.1
2005,10,out/05,-0.3
2005,11,nov/05,-0.6
2005,12,dez/05,-0.8
2006,1,jan/06,-0.8
2006,2,fev/06,-0.7
2006,3,mar/06,-0.5
2006,4,abr/06,-0.3
2006,5,mai/06,0
2006,6,jun/06,0
2006,7,jul/06,0.1
2006,8,ago/06,0.3
2006,9,set/06,0.5
2006,10,out/06,0.7
2006,11,nov/06,0.9
2006,12,dez/06,0.9
2007,1,jan/07,0.7
2007,2,fev/07,0.3
2007,3,mar/07,0
2007,4,abr/07,-0.2
2007,5,mai/07,-0.3
2007,6,jun/07,-0.4
2007,7,jul/07,-0.5
2007,8,ago/07,-0.8
2007,9,set/07,-1.1
2007,10,out/07,-1.4
2007,11,nov/07,-1.5
2007,12,dez/07,-1.6
2008,1,jan/08,-1.6
2008,2,fev/08,-1.4
2008,3,mar/08,-1.2
2008,4,abr/08,-0.9
2008,5,mai/08,-0.8
2008,6,jun/08,-0.5
2008,7,jul/08,-0.4
2008,8,ago/08,-0.3
2008,9,set/08,-0.3
2008,10,out/08,-0.4
2008,11,nov/08,-0.6
2008,12,dez/08,-0.7
2009,1,jan/09,-0.8
2009,2,fev/09,-0.7
2009,3,mar/09,-0.5
2009,4,abr/09,-0.2
2009,5,mai/09,0.1
2009,6,jun/09,0.4
2009,7,jul/09,0.5
2009,8,ago/09,0.5
2009,9,set/09,0.7
2009,10,out/09,1
2009,11,nov/09,1.3
2009,12,dez/09,1.6
2010,1,jan/10,1.5
2010,2,fev/10,1.3
2010,3,mar/10,0.9
2010,4,abr/10,0.4
2010,5,mai/10,-0.1
2010,6,jun/10,-0.6
2010,7,jul/10,-1
2010,8,ago/10,-1.4
2010,9,set/10,-1.6
2010,10,out/10,-1.7
2010,11,nov/10,-1.7
2010,12,dez/10,-1.6
2011,1,jan/11,-1.4
2011,2,fev/11,-1.1
2011,3,mar/11,-0.8
2011,4,abr/11,-0.6
2011,5,mai/11,-0.5
2011,6,jun/11,-0.4
2011,7,jul/11,-0.5
2011,8,ago/11,-0.7
2011,9,set/11,-0.9
2011,10,out/11,-1.1
2011,11,nov/11,-1.1
2011,12,dez/11,-1
2012,1,jan/12,-0.8
2012,2,fev/12,-0.6
2012,3,mar/12,-0.5
2012,4,abr/12,-0.4
2012,5,mai/12,-0.2
2012,6,jun/12,0.1
2012,7,jul/12,0.3
2012,8,ago/12,0.3
2012,9,set/12,0.3
2012,10,out/12,0.2
2012,11,nov/12,0
2012,12,dez/12,-0.2
2013,1,jan/13,-0.4
2013,2,fev/13,-0.3
2013,3,mar/13,-0.2
2013,4,abr/13,-0.2
2013,5,mai/13,-0.3
2013,6,jun/13,-0.3
2013,7,jul/13,-0.4
2013,8,ago/13,-0.4
2013,9,set/13,-0.3
2013,10,out/13,-0.2
2013,11,nov/13,-0.2
2013,12,dez/13,-0.3
2014,1,jan/14,-0.4
2014,2,fev/14,-0.4
2014,3,mar/14,-0.2
2014,4,abr/14,0.1
2014,5,mai/14,0.3
2014,6,jun/14,0.2
2014,7,jul/14,0.1
2014,8,ago/14,0
2014,9,set/14,0.2
2014,10,out/14,0.4
2014,11,nov/14,0.6
2014,12,dez/14,0.7
2015,1,jan/15,0.6
2015,2,fev/15,0.6
2015,3,mar/15,0.6
2015,4,abr/15,0.8
2015,5,mai/15,1
2015,6,jun/15,1.2
2015,7,jul/15,1.5
2015,8,ago/15,1.8
2015,9,set/15,2.1
2015,10,out/15,2.4
2015,11,nov/15,2.5
2015,12,dez/15,2.6
2016,1,jan/16,2.5
2016,2,fev/16,2.2
2016,3,mar/16,1.7
2016,4,abr/16,1
2016,5,mai/16,0.5
2016,6,jun/16,0
2016,7,jul/16,-0.3
2016,8,ago/16,-0.6
2016,9,set/16,-0.7
2016,10,out/16,-0.7
2016,11,nov/16,-0.7
2016,12,dez/16,-0.6
2017,1,jan/17,-0.3
2017,2,fev/17,-0.1
2017,3,mar/17,0.1
2017,4,abr/17,0.3
2017,5,mai/17,0.4
2017,6,jun/17,0.4
2017,7,jul/17,0.2
2017,8,ago/17,-0.1
2017,9,set/17,-0.4
2017,10,out/17,-0.7
2017,11,nov/17,-0.9
2017,12,dez/17,-1
2018,1,jan/18,-0.9
2018,2,fev/18,-0.8
2018,3,mar/18,-0.6
2018,4,abr/18,-0.4
2018,5,mai/18,-0.1
2018,6,jun/18,0.1
2018,7,jul/18,0.1
2018,8,ago/18,0.2
2018,9,set/18,0.4
2018,10,out/18,0.7
2018,11,nov/18,0.9
2018,12,dez/18,0.8
2019,1,jan/19,0.8
2019,2,fev/19,0.8
2019,3,mar/19,0.8
2019,4,abr/19,0.8
2019,5,mai/19,0.6
2019,6,jun/19,0.5
